Species,Individual,DateTime,RelativePath,File,Date,Trap,Camera
Dingo,UOF1501,2022-01-05 19:36,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-01-05__19-38-58(1).JPG,2022-01-05,PS1,CamB
Dingo,UOM2008,2022-01-05 19:37,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-01-05__19-39-03(1).JPG,2022-01-05,PS1,CamB
Dingo,UOF1501,2022-01-13 15:24,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-01-13__15-26-31(1).JPG,2022-01-13,PS1,CamB
Dingo,UOM2008,2022-01-13 19:51,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-01-13__19-53-00(1).JPG,2022-01-13,PS1,CamB
Dingo,UOF1501,2022-01-13 19:51,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-01-13__19-53-09(12).JPG,2022-01-13,PS1,CamB
Dingo,UOM2008,2022-01-18 8:02,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-01-18__08-04-27(1).JPG,2022-01-18,PS1,CamB
Dingo,UOF1501,2022-01-18 8:02,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamA,PS1__CamA__2022-01-18__08-02-38(1).JPG,2022-01-18,PS1,CamA
Dingo,UOF1501,2022-01-23 18:52,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-01-23__18-54-54(1).JPG,2022-01-23,PS1,CamB
Dingo,UOM2008,2022-01-23 18:53,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-01-23__18-55-01(2).JPG,2022-01-23,PS1,CamB
Dingo,UOM2008,2022-01-31 6:59,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-01-31__07-01-32(1).JPG,2022-01-31,PS1,CamB
Dingo,UOM2008,2022-02-07 15:57,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-02-07__15-59-26(1).JPG,2022-02-07,PS1,CamB
Dingo,UOF1501,2022-02-07 15:57,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-02-07__15-59-56(7).JPG,2022-02-07,PS1,CamB
Dingo,UOM2008,2022-02-19 19:06,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-02-19__19-08-08(1).JPG,2022-02-19,PS1,CamB
Dingo,UOF1501,2022-02-28 7:08,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-02-28__07-10-37(4).JPG,2022-02-28,PS1,CamB
Dingo,UOM2008,2022-02-28 7:08,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-02-28__07-10-47(10).JPG,2022-02-28,PS1,CamB
Dingo,UOM2008,2022-02-28 7:52,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-02-28__07-54-36(4).JPG,2022-02-28,PS1,CamB
Dingo,UOF1501,2022-03-12 18:31,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-03-12__18-31-21(1).JPG,2022-03-12,PS1,CamB
Dingo,UOM2008,2022-03-12 18:31,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-03-12__18-31-24(4).JPG,2022-03-12,PS1,CamB
Dingo,UOF1501,2022-03-15 6:45,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-03-15__06-45-51(1).JPG,2022-03-15,PS1,CamB
Dingo,UOM2008,2022-03-15 6:45,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-03-15__06-45-57(7).JPG,2022-03-15,PS1,CamB
Dingo,UOF1709,2022-03-15 20:31,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-03-15__20-31-34(1).JPG,2022-03-15,PS1,CamB
Dingo,UOM2004,2022-03-15 20:31,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-03-15__20-31-35(3).JPG,2022-03-15,PS1,CamB
