Trap,Camera,Latitude,Longitude,Setup_date,Retrieval_date,Problem1_from,Problem1_to,Problem2_from,Problem2_to,sessionCol,TrailType,CameraType
PS16,CamA,-32.446479,152.439393,02/04/2023,31/05/2023,,,,,6,4wdtrack,Trail
PS16,CamB,-32.446479,152.439393,02/04/2023,31/05/2023,,,,,6,4wdtrack,Trail
PS17,CamA,-32.426053,152.471627,02/04/2023,01/06/2023,,,,,6,Unsealedroad,Trail
PS17,CamB,-32.426053,152.471627,02/04/2023,01/06/2023,,,,,6,Unsealedroad,Trail
PS18,CamA,-32.460609,152.460548,02/04/2023,31/05/2023,,,,,6,4wdtrack,Trail
PS18,CamB,-32.460609,152.460548,02/04/2023,31/05/2023,,,,,6,4wdtrack,Trail
PS19,CamA,-32.44154,152.49286,02/04/2023,01/06/2023,,,,,6,4wdtrack,Trail
PS19,CamB,-32.44154,152.49286,02/04/2023,01/06/2023,,,,,6,4wdtrack,Trail
PS20,CamA,-32.399632,152.500851,02/04/2023,01/06/2023,,,,,6,Walktrail,Trail
PS20,CamB,-32.399632,152.500851,02/04/2023,01/06/2023,,,,,6,Walktrail,Trail
PS21,CamA,-32.43413,152.51566,02/04/2023,01/06/2023,,,,,6,4wdtrack,Trail
PS21,CamB,-32.43413,152.51566,02/04/2023,01/06/2023,,,,,6,4wdtrack,Trail
PS23,CamA,-32.570626,152.283255,02/04/2023,30/05/2023,,,,,6,4wdtrack,Trail
PS23,CamB,-32.570626,152.283255,02/04/2023,30/05/2023,,,,,6,4wdtrack,Trail
PS24,CamA,-32.610825,152.216843,02/04/2023,30/05/2023,,,,,6,4wdtrack,Trail
PS24,CamB,-32.610825,152.216843,02/04/2023,30/05/2023,,,,,6,4wdtrack,Trail
PS25,CamA,-32.498115,152.309451,02/04/2023,30/05/2023,,,,,6,4wdtrack,Trail
PS25,CamB,-32.498115,152.309451,02/04/2023,30/05/2023,,,,,6,4wdtrack,Trail
PS26,CamA,-32.545576,152.307052,02/04/2023,12/04/2023,,,,,6,Sealedroad,Trail
PS27,CamA,-32.399646,152.470765,02/04/2023,01/06/2023,,,,,6,Unsealedroad,Trail
PS27,CamB,-32.399646,152.470765,02/04/2023,01/06/2023,,,,,6,Unsealedroad,Trail
