"Trap","x","y","Session","TrailType","min_supp_dist","min_urb_dist"
"PS14",443455.8216,6406089.581,4,"Walktrail",8736.391716,16427.0386137156
"PS15",446143.9458,6408310.535,4,"Unsealedroad",6485.515465,12978.2119075642
"PS16",447305.5172,6409935.419,4,"4wdtrack",5370.446625,10938.3893762429
"PS17",450324.2031,6412215.133,4,"Unsealedroad",3085.05374,8084.32356532884
"PS18",449301.9296,6408379.315,4,"4wdtrack",3208.608137,11829.3605113601
"PS19",452328.6289,6410508.042,4,"4wdtrack",1404.388855,9255.1612199889
"PS20",453058.096,6415157.152,4,"Walktrail",3263.863343,5302.14743432882
"PS21",454468.1361,6411339.402,4,"4wdtrack",702.1944274,7932.1155408194
"PS23",432721.4991,6396085.316,4,"4wdtrack",3171.525845,15303.0275004679
"PS24",426520.2766,6391585.037,4,"4wdtrack",1514.899267,7850.77236522626
"PS25",435128.3781,6404139.8,4,"4wdtrack",3457.76898,24383.7060710641
"PS27",450228.6662,6415141.993,4,"Unsealedroad",2093.539297,5261.98826203076
"PS1",423483.8042,6383908.967,5,"Walktrail",331.0176275,854.402451890254
"PS2",423574.0792,6386402.249,5,"4wdtrack",1693.70887,2038.28409129865
"PS3",425165.5768,6388765.112,5,"4wdtrack",1514.899267,4710.46341913609
"PS5",428023.2917,6392481.238,5,"4wdtrack",523.3848243,9590.79416759702
"PS6",431812.3441,6394297.163,5,"4wdtrack",4656.746653,13563.0056980968
"PS9",437032.6097,6402644.823,5,"Walktrail",1514.899267,23298.0904474942
"PS11",439252.656,6405986.504,5,"Unsealedroad",5786.911526,19728.4978580224
"PS12",439455.9293,6403913.578,5,"Walktrail",4218.295493,20974.8132946135
"PS13",441995.5766,6408728.728,5,"4wdtrack",9481.822195,16545.9776905865
"PS14",443455.8216,6406089.581,5,"Walktrail",8736.391716,16427.0386137156
"PS15",446143.9458,6408310.535,5,"Unsealedroad",6485.515465,12978.2119075642
"PS16",447305.5172,6409935.419,5,"4wdtrack",5370.446625,10938.3893762429
"PS17",450324.2031,6412215.133,5,"Unsealedroad",3085.05374,8084.32356532884
"PS18",449301.9296,6408379.315,5,"4wdtrack",3208.608137,11829.3605113601
"PS19",452328.6289,6410508.042,5,"4wdtrack",1404.388855,9255.1612199889
"PS20",453058.096,6415157.152,5,"Walktrail",3263.863343,5302.14743432882
"PS21",454468.1361,6411339.402,5,"4wdtrack",702.1944274,7932.1155408194
"PS23",432721.4991,6396085.316,5,"4wdtrack",3171.525845,15303.0275004679
"PS24",426520.2766,6391585.037,5,"4wdtrack",1514.899267,7850.77236522626
"PS25",435128.3781,6404139.8,5,"4wdtrack",3457.76898,24383.7060710641
"PS26",434937.2176,6398877.046,5,"Unsealedroad",331.0176275,18805.5709726915
"PS27",450228.6662,6415141.993,5,"Unsealedroad",2093.539297,5261.98826203076
"PS1",423483.8042,6383908.967,6,"Walktrail",331.0176275,854.402451890254
"PS2",423574.0792,6386402.249,6,"4wdtrack",1693.70887,2038.28409129865
"PS3",425165.5768,6388765.112,6,"4wdtrack",1514.899267,4710.46341913609
"PS5",428023.2917,6392481.238,6,"4wdtrack",523.3848243,9590.79416759702
"PS6",431812.3441,6394297.163,6,"4wdtrack",4656.746653,13563.0056980968
"PS9",437032.6097,6402644.823,6,"Walktrail",1514.899267,23298.0904474942
"PS11",439252.656,6405986.504,6,"Unsealedroad",5786.911526,19728.4978580224
"PS12",439455.9293,6403913.578,6,"Walktrail",4218.295493,20974.8132946135
"PS13",441995.5766,6408728.728,6,"4wdtrack",9481.822195,16545.9776905865
"PS14",443455.8216,6406089.581,6,"Walktrail",8736.391716,16427.0386137156
"PS15",446143.9458,6408310.535,6,"Unsealedroad",6485.515465,12978.2119075642
"PS16",447305.5172,6409935.419,6,"4wdtrack",5370.446625,10938.3893762429
"PS17",450324.2031,6412215.133,6,"Unsealedroad",3085.05374,8084.32356532884
"PS18",449301.9296,6408379.315,6,"4wdtrack",3208.608137,11829.3605113601
"PS19",452328.6289,6410508.042,6,"4wdtrack",1404.388855,9255.1612199889
"PS20",453058.096,6415157.152,6,"Walktrail",3263.863343,5302.14743432882
"PS21",454468.1361,6411339.402,6,"4wdtrack",702.1944274,7932.1155408194
"PS23",432721.4991,6396085.316,6,"4wdtrack",3171.525845,15303.0275004679
"PS24",426520.2766,6391585.037,6,"4wdtrack",1514.899267,7850.77236522626
"PS25",435128.3781,6404139.8,6,"4wdtrack",3457.76898,24383.7060710641
"PS26",434937.2176,6398877.046,6,"Unsealedroad",331.0176275,18805.5709726915
"PS27",450228.6662,6415141.993,6,"Unsealedroad",2093.539297,5261.98826203076
